,Ligand SMILES,IC50 (nM),ref,inner_ID
2355,Clc1ccc2OCCC(C(=O)Nc3cncc4ccc(CN5CCNCC5)cc34)c2c1,756,BindingDB,id_2355
2356,O=C(Nc1cncc2ccc(CN3CCNCC3)cc12)C1CCOc2ccc(Cl)cc21,756.0856009,Moonshot,id_2356
2357,CC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,759,BindingDB,id_2357
2358,C1=CC=C2C(=C1)C=NC=C2NC(=O)CC3=C(C=CC(=C3)Cl)F,760,Pubchem&Chembl,id_2358
2359,NC(=O)c1cc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc2s1,760.6919337,Moonshot,id_2359
2360,C1C(C2=C(C=CC(=C2)Cl)C(=O)N1CC(=O)NC3COC3)C(=O)NC4=CN=CC5=CC=CC=C54,761,Pubchem&Chembl,id_2360
2361,C1COC2=C(C1C(=O)NC3=CN=CC4=C3C=C(S4)C(=O)N)C=C(C=C2)Cl,761,Pubchem&Chembl,id_2361
2362,NC(=O)c1cc2c(NC(=O)C3CCOc4ccc(Cl)cc34)cncc2s1,761,BindingDB,id_2362
2363,O=C(CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O)NC1COC1,761.4175725,Moonshot,id_2363
2364,O=C(Nc1cncc2ccccc12)C1COc2ccc(Cl)cc21,764.138838,Moonshot,id_2364
2365,O=C(Nc1cncc2ccc(F)cc12)C1CCOc2ccc(Cl)cc21,766.6156173,Moonshot,id_2365
2366,CNS(=O)(=O)c1ccc2c(NC(=O)C3(OC)CCOc4ccc(Cl)cc43)cncc2c1,766.7310199,Moonshot,id_2366
2367,C1COC2=C([C@H]1C(=O)NC3=C4C=NC=CC4=CN=C3)C=C(C=C2)Cl,767,Pubchem&Chembl,id_2367
2368,CNS(=O)(=O)C1=CC2=CN=CC(=C2C=C1)NC(=O)C3(CCOC4=C3C=C(C=C4)Cl)OC,767,Pubchem&Chembl,id_2368
2369,Clc1ccc2OCC[C@H](C(=O)Nc3cncc4ccncc34)c2c1,767,BindingDB,id_2369
2370,O=C(Nc1cncc2cc(F)ccc12)C1CCS(=O)(=O)c2ccc(Cl)cc21,769.6855654,Moonshot,id_2370
2371,c1ccc2sc(SNC3CCCCC3)nc2c1,770,Pubchem&Chembl,id_2371
2372,C1CS(=O)(=O)C2=C(C1C(=O)NC3=C4C=CC(=CC4=CN=C3)F)C=C(C=C2)Cl,770,Pubchem&Chembl,id_2372
2373,CC(C1=CC(=C(C=C1)Cl)Cl)C(=O)NC2=CN=CC3=CC=CC=C32,770,Pubchem&Chembl,id_2373
2374,Fc1ccc2c(NC(=O)C3CCS(=O)(=O)c4ccc(Cl)cc34)cncc2c1,770,BindingDB,id_2374
2375,COC1(CS(=O)(=O)N2CC(C(=O)Nc3cncc4cc(S(C)(=O)=O)ccc34)c3cc(Cl)ccc3C2=O)CC1,772.6578045,Moonshot,id_2375
2376,COC1(CC1)CS(=O)(=O)N2CC(C3=C(C2=O)C=CC(=C3)Cl)C(=O)NC4=C5C=CC(=CC5=CN=C4)S(=O)(=O)C,773,Pubchem&Chembl,id_2376
2377,CC(C)CC(NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)C)C(=O)N(C)N(CCC(N)=O)C#N,775,BindingDB,id_2377
2378,[2H]C([2H])(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@H]1CCNC1=O)C(O)S(=O)(=O)[O-])C12CC3CC(CC(O)(C3)C1)C2.[Na+],780,Pubchem&Chembl,id_2378
2379,Cn1cnc(Cn2c(=O)nc(Nc3cc4cn(C)nc4cc3Cl)n(Cc3cccc4ccccc34)c2=O)n1,780,Pubchem&Chembl,id_2379
2380,Cn1sc2ccccc2c1=O,780,Pubchem&Chembl,id_2380
2381,CC(C)C[C@H](NC(=O)OCC12CC3CC(CC(O)(C3)C1)C2)C(=O)NC(CC1CCNC1=O)C(O)S([O-])(=O)=O,780,BindingDB,id_2381
2382,O=C(Cn1nnc2ccccc12)N(Cc1ccsc1)c1ccc(cc1)-c1ccc[nH]c1=O,780,BindingDB,id_2382
2383,O=C(Cn1nnc2ccccc12)N(CC1CCC1)c1ccc(cc1)-c1cccnc1,780,BindingDB,id_2383
2384,Clc1ccc2N(Cc3ncc[nH]3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,780,BindingDB,id_2384
2385,O=C(Nc1cncc2ccccc12)C1CCN(Cc2ncc[nH]2)c2ccc(Cl)cc21,780.1183651,Moonshot,id_2385
2386,O=C(Nc1cncc2ccccc12)C1CN(Cc2ncn[nH]2)Cc2ccc(Cl)cc21,783.5209987,Moonshot,id_2386
2387,C1C(C2=C(CN1CC3=NC=NN3)C=CC(=C2)Cl)C(=O)NC4=CN=CC5=CC=CC=C54,784,Pubchem&Chembl,id_2387
2388,Clc1ccc2CN(Cc3ncn[nH]3)CC(C(=O)Nc3cncc4ccccc34)c2c1,784,BindingDB,id_2388
2389,CC(C)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,784.006101,Moonshot,id_2389
2390,C1=CC=C2C(=C1)C=NC=C2NC(=O)CC3=CC(=CC(=C3)Cl)Cl,791,Pubchem&Chembl,id_2390
2391,Clc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,791,BindingDB,id_2391
2392,C1=CC=C2C(=C1)C=NC=C2NC(=O)CC3=CC(=CC(=C3)F)F,797,Pubchem&Chembl,id_2392
2393,Cc1c(sc2nccn12)C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N,798,BindingDB,id_2393
2394,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NCCC3=CC(=CC=C3)F)C(=O)C4=NC=CS4,800,Pubchem&Chembl,id_2394
2395,CC(C)C(=O)Nc1ccc(cc1)N(C(C(=O)NCc1ccccc1)c1ccc(Cl)c(F)c1)C(=O)Cn1nnc2ccccc12,800,BindingDB,id_2395
2396,O=C(Cn1nnc2ccccc12)N(C(C(=O)NC1CC1)c1ccsc1)c1ccc(NC(=O)C2CC2)cc1,800,BindingDB,id_2396
2397,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1nccs1,800,BindingDB,id_2397
2398,CC(C)C(=O)Nc1ccc(cc1)N([C@H](C(=O)NCc1ccccc1)c1ccc(Cl)c(F)c1)C(=O)Cn1nnc2ccccc12,800,BindingDB,id_2398
2399,CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CCCCC1)c1cncc(c1)C#N)C(=O)CCl,800,BindingDB,id_2399
2400,CC(C)(C)c1ccc(N(C(=O)c2nccs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,800.298769,Moonshot,id_2400
2401,Cn1ccc(CNCC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)n1,802.8108559,Moonshot,id_2401
2402,CN1C=CC(=N1)CNCC2(CCOC3=C2C=C(C=C3)Cl)C(=O)NC4=CN=CC5=CC=CC=C54,803,Pubchem&Chembl,id_2402
2403,Cn1ccc(CNCC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)n1,803,BindingDB,id_2403
2404,Clc1ccc2N(Cc3ccn[nH]3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,803,BindingDB,id_2404
2405,N#CC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,803.1022976,Moonshot,id_2405
2406,O=C(Nc1cncc2ccccc12)C1CCN(Cc2ccn[nH]2)c2ccc(Cl)cc21,803.1199538,Moonshot,id_2406
2407,C[C@H](NC(=O)C(c1cccnc1)N(C(=O)c1ccno1)c1ccc(C2CCCCC2)cc1)c1ccccc1,810,Pubchem&Chembl,id_2407
2408,CC(C)NC(=O)CN1CC(C2=C(C1=O)C=CC(=C2)Cl)C(=O)NC3=C4C=CC(=CC4=CN=C3)F,810,Pubchem&Chembl,id_2408
2409,CC(C)C[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)N[C@H](CC1CCNC1=O)C(=O)C(=O)NC(C)C,810,BindingDB,id_2409
2410,C1CC1(CS(=O)(=O)N2CC3=C(C=C(C=C3)Cl)C4(C2)CCN(C4=O)C5=C6C=C(C=CC6=CN=C5)Cl)C#N,820,Pubchem&Chembl,id_2410
2411,CC(C)C[C@H](NC(=O)OCC12CC3CC(CC(O)(C3)C1)C2)C(=O)N[C@H](C=O)C[C@H]1CCNC1=O,820,Pubchem&Chembl,id_2411
2412,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,820,Pubchem&Chembl,id_2412
2413,CC(C)C[C@H](NC(=O)OC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,820,BindingDB,id_2413
2414,O=c1c2ccccc2[se]n1Cc1ccc(Cl)cc1,824,Pubchem&Chembl,id_2414
2415,CS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=CC=C2CC3=CC=CC=C3)Cl,826,Pubchem&Chembl,id_2415
2416,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(F)cc45)C3=O)C2)CC1,827.9335455,Moonshot,id_2416
2417,C1CC1(CS(=O)(=O)N2CC3=C(C=C(C=C3)Cl)C4(C2)CCN(C4=O)C5=C6C=C(C=CC6=CN=C5)F)C#N,828,Pubchem&Chembl,id_2417
2418,C=CC(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12,828.0043523,Moonshot,id_2418
2419,CSc1ccc2c(c1)NC(=O)C(F)(F)C2=O,830,Pubchem&Chembl,id_2419
2420,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,830,Pubchem&Chembl,id_2420
2421,COC1(C(=O)Nc2cncc3ccncc23)CCOc2ccc(Cl)cc21,831.8005895,Moonshot,id_2421
2422,C1CN([C@H](CN1C(=O)CCl)C(=O)NC(C2=CC=CC=C2)C3=CC=CC=C3)S(=O)(=O)C4=CSC=C4,832,Pubchem&Chembl,id_2422
2423,COC1(CCOC2=C1C=C(C=C2)Cl)C(=O)NC3=C4C=NC=CC4=CN=C3,832,Pubchem&Chembl,id_2423
2424,COC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccncc12,832,BindingDB,id_2424
2425,O=C(NC(c1ccccc1)c1ccccc1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,832.464052,Moonshot,id_2425
2426,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=CN=CC4=CC=CC=C43,833,Pubchem&Chembl,id_2426
2427,Clc1cccc(c1)N1CCN(CC1)C(=O)c1cncc2ccccc12,833,BindingDB,id_2427
2428,C1CN(CCN1CC2=CC=CC=C2CCS(=O)(=O)N)C(=O)CCl,834,Pubchem&Chembl,id_2428
2429,CN(C)C1=CC=C(C=C1)N(CC2=CSC=C2)C(=O)CC3=CN=CC4=CC=CC=C43,834,Pubchem&Chembl,id_2429
2430,NS(=O)(=O)CCc1ccccc1CN1CCN(CC1)C(=O)CCl,834,BindingDB,id_2430
2431,COC(=O)[C@H]1C[C@H](NC(=O)C(c2cccnc2)N(C(=O)c2cocn2)c2ccc(C(C)(C)C)cc2)CN1C(=O)OC(C)(C)C,836.7419648,Moonshot,id_2431
2432,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)N[C@H]3C[C@@H](N(C3)C(=O)OC(C)(C)C)C(=O)OC)C(=O)C4=COC=N4,837,Pubchem&Chembl,id_2432
2433,COC(=O)[C@H]1C[C@@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,837,BindingDB,id_2433
2434,C1CS(=O)(=O)C2=C(C1C(=O)NC3=C4C=CC(=CC4=CN=C3)Cl)C=C(C=C2)Cl,838,Pubchem&Chembl,id_2434
2435,Clc1ccc2c(c1)C(CCS2(=O)=O)C(=O)Nc1cncc2cc(Cl)ccc12,838,BindingDB,id_2435
2436,O=C(Nc1cncc2cc(Cl)ccc12)C1CCS(=O)(=O)c2ccc(Cl)cc21,838.2265244,Moonshot,id_2436
2437,CC(C)(C)c1ccc(S(=O)(=O)/C=C/C#N)cc1,840,Pubchem&Chembl,id_2437
2438,CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,840,Pubchem&Chembl,id_2438
2439,ClCC(=O)N(C(C(=O)NC1CCOCC1)c1cccnc1)c1ccc(cc1)-c1cnco1,840,BindingDB,id_2439
2440,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C[C@@H]1CCNC1=O)C#N)C2(C)C,844,BindingDB,id_2440
2441,NC(=S)N/N=C/c1ccc(-c2ccc(C(=O)O)c(O)c2)o1,850,Pubchem&Chembl,id_2441
2442,Cc1cc(F)cc2cncc(NC(=O)Cc3cccc(Cl)c3)c12,850.8029584,Moonshot,id_2442
2443,O=C(Nc1cncc2ccccc12)C1CCOc2ccc(Br)cc21,850.9028862,Moonshot,id_2443
2444,CC1=CC(=CC2=CN=CC(=C12)NC(=O)CC3=CC(=CC=C3)Cl)F,851,Pubchem&Chembl,id_2444
2445,Brc1ccc2OCCC(C(=O)Nc3cncc4ccccc34)c2c1,851,BindingDB,id_2445
2446,NC(=O)CCN(NC(=O)[C@H](CC1CCCCC1)NS(=O)(=O)Cc1ccccc1)C(=O)[C@@H](F)Cl,860,BindingDB,id_2446
2447,Clc1cccc(CN(C(=O)Cc2cccnc2)c2ccc(cc2)-c2cn[nH]c2)c1,864,BindingDB,id_2447
2448,C1CN(C(=O)C1C2=CC(=CC=C2)Cl)C3=CN=CC4=CC=CC=C43,866,Pubchem&Chembl,id_2448
2449,CS(=O)(=O)C1=CC2=CN=CC(=C2C=C1)NC(=O)C3CN(C(=O)C4=C3C=C(C=C4)Cl)CC(=O)NC5COC5,866,Pubchem&Chembl,id_2449
2450,Clc1cccc(c1)C1CCN(C1=O)c1cncc2ccccc12,866,BindingDB,id_2450
2451,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NC4COC4)C(=O)c4ccc(Cl)cc43)cncc2c1,866.2514927,Moonshot,id_2451
2452,Fc1cc(C(=O)Oc2cncc(Cl)c2)c2cc[nH]c2c1,870,BindingDB,id_2452
2453,C=CC(=O)NCC1(CCOC2=C1C=C(C=C2)Cl)C(=O)NC3=CN=CC4=CC=CC=C43,871,Pubchem&Chembl,id_2453
2454,Clc1ccc2OCCC(CNC(=O)C=C)(C(=O)Nc3cncc4ccccc34)c2c1,871,BindingDB,id_2454
2455,C=CC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,871.0205102,Moonshot,id_2455
2456,COCCOC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,871.8520701,Moonshot,id_2456
2457,C1=CC=C2C(=C1)C=NC=C2NC(=O)CC3=C(C=CC(=C3)Cl)Cl,872,Pubchem&Chembl,id_2457
2458,Clc1ccc(Cl)c(CC(=O)Nc2cncc3ccccc23)c1,872,BindingDB,id_2458
2459,CC1(C(=O)Nc2cncc3ccccc23)CNC(=O)c2ccc(Cl)cc21,875.5539712,Moonshot,id_2459
2460,CC1(CNC(=O)C2=C1C=C(C=C2)Cl)C(=O)NC3=CN=CC4=CC=CC=C43,876,Pubchem&Chembl,id_2460
2461,O=C(CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O)NCC(F)(F)F,878.7501827,Moonshot,id_2461
2462,C1C(C2=C(C=CC(=C2)Cl)C(=O)N1CC(=O)NCC(F)(F)F)C(=O)NC3=C4C=CC(=CC4=CN=C3)F,879,Pubchem&Chembl,id_2462
2463,CC(=O)N1CCC(C2=C1C=CC(=C2)Cl)C(=O)NC3=CN=CC4=CC=CC=C43,879,Pubchem&Chembl,id_2463
2464,CC(=O)N1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,879,BindingDB,id_2464
2465,CCOC(=O)C=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)OC(C)(C)C,880,BindingDB,id_2465
2466,O=[N+]([O-])c1cnc(Sc2nnc(-c3ccc(Cl)cc3)o2)s1,880.8066776,Moonshot,id_2466
2467,CS(=O)(=O)Nc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,881.5065208,Moonshot,id_2467
2468,CS(=O)(=O)NC1=CC2=CN=CC(=C2C=C1)NC(=O)CC3=CC(=CC=C3)Cl,882,Pubchem&Chembl,id_2468
2469,[O-][N+](=O)c1ccccc1SSc1ncccn1,883,BindingDB,id_2469
2470,O=C(Cc1cccc(Cl)c1)Nc1cncc2c(F)cccc12,889.5618259,Moonshot,id_2470
2471,C1=CC(=CC(=C1)Cl)CC(=O)NC2=C3C=CC=C(C3=CN=C2)F,890,Pubchem&Chembl,id_2471
2472,Fc1cccc2c(NC(=O)Cc3cccc(Cl)c3)cncc12,890,BindingDB,id_2472
2473,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NN(CCC(N)=O)C(=O)C(Cl)c1ccccc1,890,BindingDB,id_2473
2474,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NCCC3=CC(=CC=C3)F)C(=O)C4=CSC=N4,891,Pubchem&Chembl,id_2474
2475,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cscn1,891,BindingDB,id_2475
2476,CC(C)(C)c1ccc(N(C(=O)c2cscn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,891.4339451,Moonshot,id_2476
2477,CN(C)CCOC1=CC2=C(C=NC=C2C=C1)NC(=O)CC3=CC(=CC=C3)Cl,892,Pubchem&Chembl,id_2477
2478,CN(C)C(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,895.886634,Moonshot,id_2478
2479,CN(C)C(=O)CN1CC(C2=C(C1)C=CC(=C2)Cl)C(=O)NC3=CN=CC4=CC=CC=C43,896,Pubchem&Chembl,id_2479
2480,CN(C)C(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,896,BindingDB,id_2480
2481,CNC(=O)C1=CC2=C(C=NC=C2C=C1)NC(=O)CC3=CC(=CC=C3)Cl,899,Pubchem&Chembl,id_2481
2482,C1CN(CCN1CC2=CC=CC3=CC=CC=C32)C(=O)CCl,900,Pubchem&Chembl,id_2482
2483,ClC(Cl)=C(Cl)C(=O)Oc1ccc(cc1)S(=O)(=O)c1ccc(OC(=O)C(Cl)=C(Cl)Cl)cc1,900,BindingDB,id_2483
2484,CC(C)(C)CNC(=O)C(N(C(=O)Cn1nnc2ccccc12)c1ccc(NC(=O)C2CC2)cc1)c1ccsc1,900,BindingDB,id_2484
2485,O=C(Cn1nnc2ccccc12)N(Cc1ccsc1)c1ccc(cc1)-c1ccccn1,900,BindingDB,id_2485
2486,ClCC(=O)N1CCN(Cc2cccc3ccccc23)CC1,900,BindingDB,id_2486
2487,COc1cccc2[nH]c(cc12)C(=O)Oc1cncc(Cl)c1,900,BindingDB,id_2487
2488,ClC(Cl)=C(Cl)C(=O)Oc1ccc(cc1)S(=O)(=O)c1ccc(OC(=O)C(Cl)=C(Cl)Cl)cc1Cl,900,BindingDB,id_2488
2489,CC(C)(C)c1ccc(cc1)N(C(=O)CCl)C(C)(C(=O)NC1CCCCC1)c1cccnc1,900,BindingDB,id_2489
2490,COc1cccc(NCC(=O)N[C@@H](CC(C)C)C(=O)NN(CCC(N)=O)C(=O)[C@H](F)Cl)c1,900,BindingDB,id_2490
2491,CCCCNC(=O)c1ccc(-n2sc3ccccc3c2=O)cc1,910,Pubchem&Chembl,id_2491
2492,CCCCNC(=O)c1ccc(cc1)-n1sc2ccccc2c1=O,910,BindingDB,id_2492
2493,CC(C)C[C@H](NC(=O)c1cc(C)on1)C(=O)NN(CCC(N)=O)C(=O)C(F)Cl,910,BindingDB,id_2493
2494,Cn1cc(CN2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccc(F)cc34)C2)nn1,913.6564348,Moonshot,id_2494
2495,CN1C=C(N=N1)CN2CC(C3=C(C2)C=CC(=C3)Cl)C(=O)NC4=C5C=C(C=CC5=CN=C4)F,914,Pubchem&Chembl,id_2495
2496,Cn1cc(CN2CC(C(=O)Nc3cncc4ccc(F)cc34)c3cc(Cl)ccc3C2)nn1,914,BindingDB,id_2496
2497,COC(C1CCCCC1)C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N,917,BindingDB,id_2497
2498,C1C(C2=C(CN1C(=O)C3=NC=CO3)C=CC(=C2)Cl)C(=O)NC4=CN=CC5=CC=CC=C54,918,Pubchem&Chembl,id_2498
2499,Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)C(=O)c1ncco1,918,BindingDB,id_2499
2500,O=C(Nc1cncc2ccccc12)C1CN(C(=O)c2ncco2)Cc2ccc(Cl)cc21,918.1978395,Moonshot,id_2500
2501,COc1ccc(OCC(=O)N[C@H](C(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](C[C@H]2CCNC2=O)C(=O)c2nc3ccccc3s2)cc1,920,BindingDB,id_2501
2502,Cc1cc(C)nc(SSc2ccccc2[N+]([O-])=O)n1,921,BindingDB,id_2502
2503,COc1cccc2[nH]c(cc12)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COCc1ccccc1,927,BindingDB,id_2503
2504,O=C(Cn1nnc2ccccc12)N(Cc1ccsc1)c1ccc(cc1)-c1cccnc1,930,BindingDB,id_2504
2505,COC(=O)c1c(C)n(S(C)(=O)=O)c2ccc(N(C(=O)c3ccco3)S(C)(=O)=O)cc12,934.9258611,Moonshot,id_2505
2506,CC(=O)N1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,936.3469937,Moonshot,id_2506
2507,CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cc(Cl)ccc23)c2cc(Cl)ccc2C1=O,938.8873911,Moonshot,id_2507
2508,CNC(=O)CN1C[C@H](C2=C(C1=O)C=CC(=C2)Cl)C(=O)NC3=C4C=CC(=CC4=CN=C3)Cl,939,Pubchem&Chembl,id_2508
2509,C[C@H](NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(-n2cccc2)cc1)c1ccccc1,940,Pubchem&Chembl,id_2509
2510,CN(C)C(=S)SC(=S)N(C)C,940,Pubchem&Chembl,id_2510
2511,ClCC(=O)N(CCc1ccc(Cl)cc1)C(C(=O)NC1CCCCC1)c1cccnc1,940,BindingDB,id_2511
2512,CC1=C(C=NC=C1)NC(=O)CC2=CC(=CC(=C2)Cl)OC3CC(=O)N3,941,Pubchem&Chembl,id_2512
2513,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,941,BindingDB,id_2513
2514,Ic1ccc2C(Cc3cc4ccccc4s3)C(=O)C(=O)c2c1,950,BindingDB,id_2514
2515,Ic1ccc2N(Cc3cc4ccccc4s3)C(=O)C(=O)c2c1,950,BindingDB,id_2515
2516,CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3cccc(F)c23)C1,950.5667916,Moonshot,id_2516
2517,CS(=O)(=O)N1CC(C2=C(C1)C=CC(=C2)Cl)C(=O)NC3=C4C(=CN=C3)C=CC=C4F,951,Pubchem&Chembl,id_2517
2518,CS(=O)(=O)N1CC(C(=O)Nc2cncc3cccc(F)c23)c2cc(Cl)ccc2C1,951,BindingDB,id_2518
2519,CC1(CS(=O)(=O)C1)CS(=O)(=O)N2CC(C3=C(C2)C=CC(=C3)Cl)C(=O)NC4=C5C(=CN=C4)C=CC=C5Cl,957,Pubchem&Chembl,id_2519
2520,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4cccc(Cl)c34)C2)CS(=O)(=O)C1,957.2962007,Moonshot,id_2520
2521,C1CNNC1CN2CCC(C3=C2C=CC(=C3)Cl)C(=O)NC4=CN=CC5=CC=CC=C54,958,Pubchem&Chembl,id_2521
2522,C[C@H](NC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(-c2ccccc2)cc1)c1ccccc1,960,Pubchem&Chembl,id_2522
2523,COC(C1=CC(=C(C=C1)Cl)Cl)C(=O)NC2=CN=CC3=CC=CC=C32,961,Pubchem&Chembl,id_2523
2524,COC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,961,BindingDB,id_2524
2525,CS(=O)(=O)c1ccc2cncc(NC(=O)C3CCOc4ccc(Cl)cc43)c2c1,963.9295956,Moonshot,id_2525
2526,CC(C)C[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C[C@@H]3CCNC3=O)C#N)C2(C)C)NC(=O)C4=CC5=CC=CC=C5N4,964,Pubchem&Chembl,id_2526
2527,CS(=O)(=O)c1ccc2cncc(NC(=O)C3CCOc4ccc(Cl)cc34)c2c1,964,BindingDB,id_2527
2528,CC(C)C[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)CCl)C2(C)C)NC(=O)C4=CC5=CC=CC=C5N4,968,Pubchem&Chembl,id_2528
2529,COC1=C(C=C(C=C1)C2CC(=NN2C(=O)CCl)C3=CC=CS3)OC,969,Pubchem&Chembl,id_2529
2530,COc1ccc(cc1OC)C1CC(=NN1C(=O)CCl)c1cccs1,969,BindingDB,id_2530
2531,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,970,Pubchem&Chembl,id_2531
2532,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,970,Pubchem&Chembl,id_2532
2533,CSCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,970,Pubchem&Chembl,id_2533
2534,CSCC[C@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(C)=O,970,Pubchem&Chembl,id_2534
2535,CSCCC(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(C)=O)C=O,970,BindingDB,id_2535
2536,CC1=C(C=C(C=C1)CC(=O)NC2=CN=CC3=CC=CC=C32)Cl,971,Pubchem&Chembl,id_2536
2537,Cc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,971,BindingDB,id_2537
2538,CN(C)S(=O)(=O)c1cccc(C(=O)Nc2c(-c3ccccc3)nc3sccn23)c1,974.8205046,Moonshot,id_2538
2539,COCCOC(C1=CC(=C(C=C1)Cl)Cl)C(=O)NC2=CN=CC3=CC=CC=C32,975,Pubchem&Chembl,id_2539
2540,CN(C)S(=O)(=O)c1cccc(c1)C(=O)Nc1c(nc2sccn12)-c1ccccc1,975,BindingDB,id_2540
2541,C1CC1C2=C(C=NC=C2)NC(=O)C3CCNC4=CC(=C(C=C34)Cl)Cl,978,Pubchem&Chembl,id_2541
2542,Clc1cc2NCCC(C(=O)Nc3cnccc3C3CC3)c2cc1Cl,978,BindingDB,id_2542
