inner_ID,Ligand SMILES,IC50 (nM),ref,onlyligand_token
id_2320,CC(C)Oc1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,724.6662573,Moonshot,"['C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'N1', 'C3', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0']"
id_6682,CCOC(=O)c1cc(n[nH]1)-c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,99000,BindingDB,"['C0', 'C0', 'O0', 'C0', 'O0', 'C0', 'C0', 'C0', 'N1', 'N1', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_7132,COCc1csc(CNC(=O)c2ncc(Cl)cc2Cl)c1,99500,Moonshot,"['C0', 'O0', 'C0', 'C0', 'C0', 'S2', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'Cl6', 'C0']"
id_748,C1CC2=C(C=C(C=C2)Cl)C(=C1)C(=O)NC3=CN=CC4=CC=CC=C43,81,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_2464,CC(=O)N1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,879,BindingDB,"['C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0']"
id_345,CC(C)(C)C[C@H](NC(=O)C[C@@H](c1ccccc1)C(F)(F)F)C(=O)NC(C[C@@H]1CCNC1=O)C(=O)C(=O)NC1CC1,20,BindingDB,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'F1', 'F1', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'O0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0']"
id_2530,COc1ccc(cc1OC)C1CC(=NN1C(=O)CCl)c1cccs1,969,BindingDB,"['C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'N1', 'N1', 'C0', 'O0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'S2']"
id_5558,C1CCC2C(C1)C(NN2)CC(=O)N(CC3=CC=CC=C3)C4=CC=C(C=C4)N5CCCCC5=O,39400,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0']"
id_6022,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccc(O)c(=O)o1,76500,BindingDB,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'O0', 'O0']"
id_5741,CCN1CCC(NC(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)OCc4ccccc4)C(C)(C)S(=O)(=O)[C@H]23)c2ccccc2)C(=O)C1=O,50000,Pubchem&Chembl,"['C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'S6', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'O0']"
id_87,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1c(C)nc(nc1C)C1CCOCC1,5.5,BindingDB,"['C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C3', 'O0', 'C0', 'O0', 'C0', 'O0', 'C0', 'C0', 'C0', 'N1', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0']"
id_22,COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)C(=O)COC(=O)c3c(C(F)(F)F)cccc3C(F)(F)F)cc12,1,Pubchem&Chembl,"['C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C3', 'O0', 'C0', 'O0', 'C0', 'O0', 'C0', 'C0', 'C0', 'F1', 'F1', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'F1', 'F1', 'C0', 'C0']"
id_976,FC1(F)CCC(CC1)NC(=O)C(N(C(=O)CCl)c1ccc(cc1)-c1ccns1)c1ccnnc1,120,BindingDB,"['F1', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'O0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'S2', 'C0', 'C0', 'C0', 'N1', 'N1', 'C0']"
id_6037,C1=CC(=CC(=C1)F)CCNC(=O)C(C2=CN=CC=C2)N(C3=CC4=C(C=C3)N=C(N4)C(F)(F)F)C(=O)C5=COC=N5,77600,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'N1', 'C0', 'F1', 'F1', 'F1', 'C0', 'O0', 'C0', 'C0', 'O0', 'C3', 'N1']"
id_3441,O=C(Nc1cnc2ccccn12)C1CCOc2ccc(Cl)cc21,3256.039729,Moonshot,"['O0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0']"
id_3313,N#Cc1ccc2cncc(NC(=O)C3CCOc4ccc(Cl)cc43)c2c1,2750.050847,Moonshot,"['N7', 'C3', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0']"
id_1867,CC(=O)n1ccc2cc(ccc12)C(=O)Oc1cncc(Cl)c1,400,BindingDB,"['C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'O0', 'C0', 'C0', 'N1', 'C0', 'C0', 'Cl6', 'C0']"
id_3899,CC(C)N1CCOC(C1)C(=O)NC(C)(C2=CC(=C(C=C2)Cl)Cl)C(=O)NC3=CN=CC4=CC=CC=C43,5800,Pubchem&Chembl,"['C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'Cl6', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_3386,Clc1cc(Cl)cc(NC(=O)CSc2nccc(n2)-c2csc(n2)-c2ccccc2)c1,3000,BindingDB,"['Cl6', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'S2', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'S2', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_1278,Clc1cc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2cc1Cl,196,BindingDB,"['Cl6', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6']"
id_7967,O=C[C@H](Cc1c[nH]cn1)NC[C@@H]1C[C@H]2CCCC[C@@H]2CN1C(=O)c1ccccc1-c1ccccc1,135000,BindingDB,"['O0', 'C3', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'N1', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_3203,CC(C)(C)OC(=O)Nc1cccn([C@@H](CC2CCCCC2)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NC2CC2)c1=O,2390,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'O0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'O0']"
id_2340,C1=CC=C2C(=C1)C(=O)C(=O)N2CC3=CC=C(C=C3)Br,747,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Br0']"
id_6188,CC(C)Cn1cc(NC(=O)Nc2cccnc2)c2ccccc2c1=O,99000,Moonshot,"['C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0']"
id_1082,CCNS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,148.6091862,Moonshot,"['C0', 'C0', 'N1', 'S6', 'O0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_3956,COC1=CC=CC2=C1C=C(N2)C(=O)N3CC4(CCCC4)C[C@H]3C(=O)N[C@@H](C[C@@H]5CCNC5=O)C#N,6000,Pubchem&Chembl,"['C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C3', 'N7']"
id_4273,COCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,8460,BindingDB,"['C0', 'O0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'O0', 'C3', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0']"
id_5237,C1COC2=C(C1C(=O)NC3=CN=CC4=CC=CC=C43)C=C(C=C2OCC5=CN=CC=C5)Cl,24900,Pubchem&Chembl,"['C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'Cl6']"
id_1291,O=C(On1nnc2ccccc12)C(=O)c1ccc2[nH]ccc2c1,200,BindingDB,"['O0', 'C0', 'O0', 'N1', 'N1', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0']"
id_6117,O=C(Cc1cccnc1)Nc1cccc(OC2CC(=O)N2)c1,88300,BindingDB,"['O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0']"
id_6045,CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn1nnc2ccccc12,78500,BindingDB,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'S2', 'C0', 'C0', 'O0', 'C0', 'N1', 'N1', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_3096,Nc1ccc(O)c2ncccc12,2050,Pubchem&Chembl,"['N1', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0']"
id_7008,Cc1noc2ncc(CNc3ccc(-c4nnnn4C)cc3)cc12,99500,Moonshot,"['C0', 'C0', 'N1', 'O0', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'N1', 'N1', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_2671,COc1ccc(cc1)N(Cc1cccc(Cl)c1)C(=O)Cn1nnc2ccccc12,1140,BindingDB,"['C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'O0', 'C0', 'N1', 'N1', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_6089,Clc1cc(CC(=O)Nc2cc(=O)[nH]c3ccccc23)cc(OC2CC(=O)N2)c1,83300,BindingDB,"['Cl6', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0']"
id_5653,O=C(Cc1cccc(Cl)c1)Nc1nnn[nH]1,45286.70943,Moonshot,"['O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'N1', 'C0', 'N1', 'N1', 'N1', 'N1']"
id_482,ClCC(=O)N([C@@H](C(=O)N[C@H]1CCOC1)c1cnccn1)c1ccc(cc1)-c1ccno1,39,BindingDB,"['Cl6', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'O0']"
id_5821,ClCC(=O)N1CCc2sccc2C1c1ccccc1,55000,BindingDB,"['Cl6', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'S2', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_2030,COC(=O)/C=C/C(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12,499.5025504,Moonshot,"['C0', 'O0', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_6860,CC(C)(C)c1ccc(N(C(=O)c2ccnc(N3CCOCC3)n2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,99500,Moonshot,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'N1', 'C0', 'N1', 'C0', 'C0', 'O0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0']"
id_2543,O=C(Nc1cnccc1C1CC1)C1CCNc2cc(Cl)c(Cl)cc21,978.1110897,Moonshot,"['O0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'Cl6', 'C0', 'C0']"
id_1972,C[C@@H]1NC(=O)c2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12,453.7447448,Moonshot,"['C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_2743,CC(C)(C)NC(=O)C(N(C(=O)CCl)c1ccc(cc1)C(C)(C)C)c1cccnc1,1280,BindingDB,"['C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'O0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0']"
id_5864,C1COC2=C([C@H]1C(=O)NC3=CN=CC4=CC=CC=C43)C=C(C=C2)Cl,58800,Pubchem&Chembl,"['C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6']"
id_4919,O=C(CCl)N1CCCc2cc(NCc3ccc(F)cc3Cl)ccc21,19263.26197,Moonshot,"['O0', 'C0', 'C0', 'Cl6', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0']"
id_938,CN1CCN(CC1)S(=O)(=O)N2CC(C3=C(C2)C=CC(=C3)Cl)C(=O)NC4=CN=CC5=CC=CC=C54,116,Pubchem&Chembl,"['C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'S6', 'O0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_5259,CC(C)(C)NC(=O)C(N(C(=O)Cn1nnc2ccccc12)c1ccc(NS(C)(=O)=O)cc1)c1ccsc1,25300,BindingDB,"['C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'N1', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'S6', 'C3', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'S2', 'C0']"
id_4115,CC(C)[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,6928,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C3', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0']"
id_743,C[C@H](NC(=O)[C@H](N(C(=O)C(Br)(Br)Br)c1ccc(cc1)-c1ccccc1)c1cccnc1)c1ccccc1,80,BindingDB,"['C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'N1', 'C0', 'O0', 'C0', 'Br0', 'Br0', 'Br0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_7953,OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,100000,BindingDB,"['O0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'O0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'O0', 'C0']"
id_7698,CNC1CCC2=C(C=NC=C12)NC(=O)C3CCOC4=C3C=C(C=C4)Cl,99500,Pubchem&Chembl,"['C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6']"
id_5097,CCC(C)SSC1=NC=CN1,21390,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'S2', 'S2', 'C3', 'N1', 'C0', 'C0', 'N1']"
id_3537,C1=CC(=CC(=C1)Cl)CC(=O)NC2=C3C=CN=CC3=CN=C2,3710,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0']"
id_4276,O=C(CC1C(=O)NCCN1C(=O)CCl)Nc1cccc(Cl)c1,8500,Pubchem&Chembl,"['O0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'Cl6', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0']"
id_5671,Oc1c(Cl)cc(Cl)c(Cl)c1S(=O)(=O)c1c(O)c(Cl)cc(Cl)c1Cl,46000,BindingDB,"['O0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'Cl6', 'C0', 'Cl6', 'C0', 'S6', 'O0', 'O0', 'C0', 'C0', 'O0', 'C0', 'Cl6', 'C0', 'C0', 'Cl6', 'C0', 'Cl6']"
id_1960,ClCC(=O)N([C@@H](C(=O)N[C@@H]1CCOC1)c1cncnc1)c1ccc(cc1)-c1cnco1,450,BindingDB,"['Cl6', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'N1', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C3', 'O0']"
id_2490,COc1cccc(NCC(=O)N[C@@H](CC(C)C)C(=O)NN(CCC(N)=O)C(=O)[C@H](F)Cl)c1,900,BindingDB,"['C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'N1', 'C0', 'C0', 'C0', 'N1', 'O0', 'C0', 'O0', 'C0', 'F1', 'Cl6', 'C0']"
id_4953,Cc1cc(C)nc(NC2CCN(CC2)C(=O)CCl)n1,19500,BindingDB,"['C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'O0', 'C0', 'Cl6', 'N1']"
id_2341,Brc1ccc(CN2C(=O)C(=O)c3ccccc23)cc1,747,BindingDB,"['Br0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_1625,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,292,BindingDB,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'C0', 'C0', 'N1', 'C0', 'N1']"
id_6161,C1COC2=C(C1C(=O)N3C4=C(C=NC=C4)C(=N3)N)C=C(C=C2)Cl,95200,Pubchem&Chembl,"['C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'N1', 'C0', 'C0', 'C0', 'C0', 'Cl6']"
id_1701,C=CC(=O)N(C(=O)C1CCOc2ccc(Cl)cc21)c1cncc2ccccc12,328.1507679,Moonshot,"['C3', 'C0', 'C0', 'O0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_7506,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NCCC3=CC(=CC=C3)F)C(=O)C4=CC(=O)N5C(=N4)N=CN5,99500,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'N1', 'N1', 'C0', 'N1']"
